premise,hypothesis,label,
"Ahmad Fadhli was born on 18 July 1980 in Pasir Mas, Kelantan. He received his education in the Maahad Tahfiz Al-Quran, Pulai Chondong from 1992 to 1999, and then went on to study at the Sultan Ismail Petra International Islamic College, KIAS for three years (2000?2003). Subsequently, he went on to study at the Kuliyyah Islamic Preaching, al-Azhar University.",Ahmad Fadhli believed in the importance of education.,1,1
"All the trawlers were found to have problems including leaking, hogging, and severe stability issues. Eleven of the trawlers, after modifications, made the Atlantic crossing. After one foundered in a storm all the trawlers were relieved of escort duties, had one gun and some ballast removed to reduce draft to one more suitable for the work.",Skiffs are easier to operate than trawlers.,1,1
"An adventurer in Rivera shares a bed with a red-headed woman, only to be choked to death by her. That night, Ais has a dream about her mother and father. Obtaining a huge sum of debt from a sword she broke, Ais prepares to head back into the dungeon, with most of the core familia following along with her. ","Unfortunately, Ais has a rare condition that renders her unable to dream.",2,2
"An alibi is a defense raised by the accused as proof that they could not have committed the crime because they were in some other place at the time the alleged offence was committed. The Criminal Law Deskbook of Criminal Procedure states: ""Alibi is different from all of the other defenses; it is based upon the premise that the defendant is truly innocent.""",Matlock was a lawyer on television who used to talk a lot about alibis.,1,1
"Andree's place of birth is unknown. He was M.D. Rheims, 1739, and licentiate of the College of Physicians, London, 1741. Andree practiced in London and wrote several books, but is chiefly known for his connection with the London Hospital, first called the London Infirmary, which he was chiefly concerned in founding in 1740.",The London Infirmary later became known as the London Hospital.,0,0
Bayat began a career as a chess referee with the FIDE. Bayat is the only Grade A arbiter from Asia and was a prominent figure in Iran's chess scene. She served as the chief arbiter of the Women's World Chess Championship 2020. A photograph of Bayat with her hijab around her neck generated controversy in Iran which enforces a strict Islamic dress code. ,Bayat questions the existence of God.,1,1
"Before Murder Is My Hobby was broadcast nationwide, it was carried on six Don Lee Pacific stations, sponsored by Cystex, beginning in April 1945. Glenn Langan portrayed Barton Drake, a police inspector and the author of the book Mystery Is My Hobby. Drake combined his professions by collecting material for stories while he solved crimes. ",The only person to ever portray Barton Drake was 1980s comedian Tom Selleck.,2,1
"Bethesda's first facility was a frame building on Chambers Street. Having outgrown that facility, it built and moved into a much larger, single-story brick facility, located at 1 Bethesda Drive, about 1961. The hospital was unable to meet its loan payments and had to close. The former hospital is Elderwood of Hornell, a proprietary long-term care facility.",The hospital had debt problems.,0,0
"Cadenabbia is a favorite spring and autumn resort, owing to the great beauty of the scenery and of the vegetation, and its sheltered situation. It also serves as a health resort and a holiday place for travelers. A favored travel destination of the British since the 19th century, it is the site of one of the first Anglican churches built in Italy. ",People who attend Anglican churches tend to be very healthy.,1,1
"Caecilia Loots was born in Haarlem. She ran a private school for children with severe learning disabilities in Amersfoort, Province of Utrecht. In 1942, she decided to hide some Jewish children in her school at her friend's request. She hid other children as well as time went on, and Dina van Heiningen (later van der Geld) helped her with the housework.",Loots was born to a prominent Jewish family.,1,1
"Chromolaena squalida is a South American species of flowering shrub in the sunflower family. It is found in Brazil, Paraguay, Bolivia, Peru, Colombia, Venezuela, Guyana, Suriname. Chromolaena squalida is a shrub with bristly stems. Leaves are opposite, green above but hairy underneath. The plant produces many small flower heads in a flat-topped array",Sunflowers are found all over the world.,1,1
"Citizens National Bank of Latrobe, also known as Mellon National Bank Building, is a historic bank building located at Latrobe, Westmoreland County, Pennsylvania. It was designed by architect Batholomew & Smith and built in 1926. It is a six-story, ""L""-shaped, steel frame and masonry building in the Italian Renaissance Revival style.",There were no bank buildings constructed in Pennsylvania in 1926.,2,2
"Cnidarians mostly have two basic body forms: swimming medusae and sessile polyps, both of which are radially symmetrical with mouths surrounded by tentacles that bear cnidocytes. Both forms have a single orifice and body cavity that are used for digestion and respiration. Many cnidarian species produce colonies that are single organisms.",Some Cnidarians have mouths.,0,0
"Coined from Seth Godin's book Purple Cow: Transform Your Business by Being Remarkable, NotJustOk was started as a personal blog by Ademola Ogundele in 2006. It evolved into a music website after Ademola posted a clip of 9ice's performance at Nelson Mandela's 90th anniversary concert, which rapidly increased the traffic of the website. ",Personal blogs can evolve into music websites.,0,0
"Cuba built the first railway system in the Spanish empire, before the 1848 start in the Iberian peninsula. While the rail infrastructure dates from colonial and early republican times, passenger service along the principal Havana to Santiago corridor is increasingly reliable and popular with tourists who can purchase tickets in Cuban convertible pesos.",The Cuban government sold all of the nation's trains in 1992 and now no one can travel to Santiago.,2,2
"During the Battle of Britain, No. 72 Squadron spent the early days at RAF Acklington as part of No. 13 Group, before moving south during September to aid the main defence force. The squadron was then moved to North Africa to support the Tunisian campaign before being supplied with the updated Spitfire Mk.IX in 1942.","No soldiers, weapons, or vehicles were involved in the Tunisian Campaign.",2,1
"Genius Project is developed by Genius Inside. It was first released in 1997 and is available in English, German, Spanish and French. It is project management software used by any type of company, in any business. The product has evolved from a simple project management solution to a full suite of enterprise project and portfolio management application.",Genius Project is available in multiple languages.,0,0
"Gurley was born and raised in McDowell County in Western North Carolina. After graduating from high school, Tony attended University of North Carolina and received his Bachelor of Science in Pharmacy in 1978. He continued his studies at UNC and in 1981 received his master's degree in Pharmacy Administration.",Gurley received two degrees.,0,0
